UserID,No of Movies,Average Rating
5695,31,3.0
5697,26,4.0
5740,76,2.0
5907,48,4.0
53,684,4.0
255,244,4.0
481,198,4.0
588,453,4.0
799,40,4.0
804,44,3.0
898,24,4.0
970,549,3.0
1157,22,4.0
2027,105,4.0
2156,315,3.0
2247,257,4.0
2559,195,4.0
2802,80,4.0
2914,72,4.0
3028,113,4.0
3042,73,4.0
3105,120,4.0
3631,40,4.0
3790,125,4.0
4092,72,4.0
4357,43,4.0
4477,146,3.0
5110,25,4.0
5527,29,3.0
5847,356,4.0
5995,186,4.0
133,170,4.0
296,97,4.0
472,45,4.0
853,110,4.0
1466,252,4.0
1718,32,4.0
1766,26,3.0
1787,28,3.0
1888,34,4.0
2035,171,4.0
2238,88,4.0
2542,25,4.0
2874,103,4.0
3062,64,3.0
3242,210,4.0
3306,51,5.0
3691,302,4.0
4097,30,4.0
4291,211,4.0
4396,25,4.0
4583,27,4.0
4612,40,4.0
4799,58,4.0
4838,39,4.0
4859,43,4.0
5061,211,4.0
5100,853,4.0
5140,373,3.0
5178,272,4.0
5670,72,4.0
5929,108,3.0
6010,317,4.0
78,140,4.0
322,40,4.0
513,156,3.0
918,144,3.0
1005,92,4.0
1016,151,4.0
1133,168,3.0
1808,31,3.0
2396,36,4.0
2848,220,3.0
3577,78,4.0
3657,38,4.0
3703,50,3.0
4167,465,4.0
4531,243,3.0
4624,61,4.0
4697,148,4.0
5030,28,4.0
5211,103,4.0
5457,173,4.0
5692,61,4.0
5867,32,4.0
5920,143,4.0
5949,181,3.0
321,222,3.0
362,55,3.0
613,106,4.0
633,43,4.0
673,403,3.0
857,70,4.0
961,50,4.0
974,60,4.0
1160,107,3.0
1533,75,4.0
2479,33,4.0
2564,120,4.0
2625,142,3.0
2971,36,4.0
3087,297,4.0
3149,27,4.0
4061,38,3.0
4119,54,4.0
4126,358,4.0
4259,21,4.0
4512,159,4.0
4725,1006,3.0
5222,307,3.0
5251,168,4.0
5427,81,5.0
5529,21,4.0
5543,341,4.0
5934,30,4.0
375,51,4.0
593,106,4.0
597,57,4.0
876,111,4.0
976,55,3.0
1199,179,4.0
1212,69,4.0
1417,29,3.0
1468,102,4.0
1653,25,4.0
1743,95,4.0
2173,297,4.0
2513,66,4.0
2797,48,3.0
2835,38,4.0
3441,320,3.0
3601,158,4.0
4182,46,4.0
4401,201,4.0
4474,36,4.0
4713,66,3.0
4762,73,4.0
4782,117,4.0
4796,341,4.0
4798,119,3.0
4923,32,4.0
5235,35,4.0
5298,59,3.0
5375,29,4.0
5383,28,4.0
5571,113,3.0
5916,704,3.0
108,37,3.0
155,96,3.0
683,29,4.0
744,297,3.0
950,55,3.0
1331,150,4.0
1525,101,4.0
1561,161,4.0
1700,45,4.0
1863,104,5.0
2294,62,4.0
2606,50,4.0
2739,32,3.0
3124,26,3.0
3431,62,4.0
3436,204,4.0
3661,125,4.0
3843,66,3.0
3844,134,4.0
4418,318,4.0
4452,195,4.0
4773,103,4.0
5605,736,3.0
5771,266,3.0
5827,109,4.0
5962,25,4.0
34,164,4.0
193,242,4.0
211,35,4.0
368,320,4.0
530,105,4.0
642,27,4.0
796,460,3.0
1068,597,4.0
1198,102,4.0
1344,75,4.0
1404,332,3.0
1537,38,4.0
1675,565,3.0
1924,86,3.0
2200,76,3.0
2225,399,3.0
2663,156,4.0
2888,376,3.0
3152,31,3.0
3235,37,4.0
4132,132,4.0
4172,70,4.0
4263,38,4.0
4321,57,4.0
4517,413,3.0
5038,210,4.0
5367,1169,3.0
5417,45,3.0
6005,88,4.0
101,106,5.0
115,38,4.0
126,51,4.0
756,35,4.0
772,98,3.0
1165,141,4.0
1183,186,4.0
1378,58,5.0
1500,115,4.0
1745,70,4.0
1823,28,4.0
2003,61,4.0
2261,242,3.0
2342,77,4.0
2771,287,3.0
2907,849,3.0
3043,27,3.0
3198,105,4.0
4153,169,4.0
4181,129,3.0
4415,138,4.0
4683,66,3.0
4865,246,3.0
4917,238,3.0
4992,21,4.0
5597,208,3.0
5918,23,4.0
5926,63,4.0
81,86,4.0
385,137,4.0
830,174,4.0
847,62,4.0
874,28,4.0
939,165,4.0
1226,21,3.0
1259,60,4.0
1869,48,4.0
2007,40,4.0
2212,100,3.0
2484,547,3.0
2662,42,4.0
3008,34,4.0
3026,357,3.0
3313,473,4.0
3538,163,4.0
3611,205,4.0
3936,34,4.0
4088,403,3.0
4169,2314,4.0
4293,42,4.0
4637,378,4.0
4896,41,3.0
5055,42,4.0
5151,159,3.0
5254,81,4.0
5447,131,4.0
5452,284,3.0
5490,124,3.0
5585,245,4.0
5699,299,3.0
5785,130,4.0
28,107,4.0
183,101,4.0
210,110,4.0
436,133,4.0
1031,155,4.0
1175,72,4.0
1201,66,4.0
1426,382,3.0
1441,102,4.0
1496,597,3.0
1892,22,4.0
2052,30,3.0
2079,96,3.0
2180,409,3.0
2209,23,3.0
2313,43,4.0
2463,105,3.0
2522,74,4.0
2683,257,4.0
3234,21,4.0
3445,144,4.0
3685,307,4.0
3841,1216,3.0
4208,48,4.0
4326,127,4.0
4443,80,3.0
4918,301,3.0
4958,451,3.0
5152,27,3.0
5936,36,5.0
5961,308,3.0
5981,280,4.0
497,24,4.0
596,42,3.0
762,46,4.0
1051,862,3.0
1243,368,4.0
1274,591,4.0
1296,48,4.0
1415,179,4.0
1510,33,4.0
1621,22,3.0
2018,447,4.0
2044,25,4.0
2355,141,4.0
2583,331,4.0
2842,89,4.0
2905,126,4.0
3485,48,4.0
3650,785,4.0
3885,590,4.0
4083,766,3.0
4155,62,4.0
4230,21,4.0
4424,33,4.0
4482,782,4.0
4826,163,4.0
4829,323,4.0
5119,24,4.0
5592,127,4.0
300,249,4.0
406,147,3.0
412,476,4.0
784,30,4.0
787,117,4.0
842,37,4.0
1030,171,4.0
1034,337,3.0
1064,103,4.0
1156,72,4.0
1163,64,4.0
1489,489,2.0
1752,434,4.0
1772,34,3.0
1826,57,4.0
1974,518,4.0
2349,117,3.0
2386,71,4.0
2682,110,3.0
2778,106,4.0
2945,68,4.0
2962,625,3.0
3151,172,4.0
3582,97,4.0
3706,78,4.0
4107,350,4.0
4848,54,4.0
5188,89,4.0
5337,177,4.0
5552,54,3.0
5845,225,4.0
5880,748,3.0
5884,78,4.0
5895,58,4.0
5930,94,4.0
587,385,3.0
731,642,4.0
988,73,4.0
1276,77,4.0
1307,21,4.0
1574,52,4.0
1708,22,4.0
2015,903,3.0
2094,71,4.0
2240,99,4.0
2697,34,4.0
2752,378,3.0
3296,72,4.0
3403,205,4.0
3624,354,4.0
3626,855,4.0
3795,29,4.0
4229,63,4.0
4843,116,4.0
4858,113,4.0
4925,42,5.0
5028,23,4.0
5663,268,4.0
5691,130,4.0
5854,410,3.0
76,87,4.0
667,171,3.0
688,36,4.0
723,24,4.0
914,61,4.0
1372,53,3.0
1480,43,3.0
1816,62,4.0
1871,117,4.0
1889,624,3.0
2032,63,4.0
2467,22,4.0
2526,263,4.0
2678,42,4.0
2758,29,4.0
2871,28,4.0
3013,467,3.0
3127,41,4.0
3166,40,4.0
3252,35,3.0
3264,28,3.0
3346,229,4.0
3359,86,3.0
3435,126,4.0
3595,31,4.0
3725,26,4.0
3941,50,3.0
4197,23,4.0
4256,27,4.0
4695,30,3.0
4700,162,3.0
5006,45,4.0
5040,111,4.0
5505,92,4.0
5562,75,4.0
5642,50,3.0
5651,39,4.0
5756,38,4.0
5965,38,3.0
26,400,3.0
27,70,4.0
332,67,4.0
501,67,3.0
577,158,4.0
626,72,4.0
1235,50,4.0
1493,20,4.0
1634,106,4.0
2023,286,4.0
2335,96,4.0
2439,90,3.0
2610,46,3.0
2650,49,4.0
2754,100,4.0
2857,795,3.0
3133,21,3.0
3211,97,4.0
3270,122,4.0
3411,351,3.0
3743,32,4.0
3811,105,4.0
4758,25,4.0
4774,194,4.0
4777,37,4.0
5066,33,4.0
5095,43,4.0
5212,40,5.0
5396,81,4.0
5586,28,4.0
5758,147,4.0
5759,576,4.0
5875,138,4.0
5993,30,4.0
6011,197,4.0
384,22,4.0
831,57,4.0
1019,928,3.0
1269,32,4.0
1294,261,4.0
1927,22,4.0
2047,289,4.0
2189,35,4.0
2331,70,4.0
2750,200,4.0
3072,210,3.0
3387,137,3.0
4408,543,4.0
4830,114,4.0
4866,75,4.0
4876,36,4.0
4919,37,4.0
5024,77,4.0
5037,105,4.0
5123,102,3.0
5160,29,4.0
5258,20,4.0
5647,152,4.0
5823,105,4.0
6040,341,4.0
44,193,4.0
159,36,4.0
192,525,3.0
271,312,4.0
606,33,4.0
743,149,3.0
811,65,4.0
844,84,3.0
908,39,3.0
916,55,4.0
1135,172,4.0
1350,112,4.0
1418,286,3.0
1875,338,4.0
2134,59,4.0
2169,37,4.0
2322,66,4.0
2644,21,4.0
2738,105,4.0
3017,362,3.0
3069,215,3.0
3123,155,4.0
3183,111,3.0
3287,24,5.0
3370,198,3.0
3481,140,4.0
3528,112,3.0
3666,42,4.0
3669,436,3.0
3744,36,4.0
3783,24,4.0
3922,178,3.0
4199,47,4.0
4267,37,3.0
4354,635,4.0
4538,40,3.0
5214,31,2.0
5219,124,4.0
5405,116,4.0
5606,24,4.0
5764,55,4.0
5852,332,4.0
253,53,4.0
806,66,4.0
1148,59,4.0
1210,39,4.0
1280,50,4.0
1363,21,4.0
1689,128,4.0
1759,254,4.0
1771,24,4.0
1866,139,4.0
1877,147,3.0
1955,40,4.0
2076,83,3.0
2371,81,4.0
2601,29,4.0
2727,88,3.0
2804,171,4.0
2809,109,4.0
3010,105,3.0
3587,43,4.0
3727,460,3.0
4036,126,3.0
4209,23,4.0
4547,20,3.0
4779,213,4.0
5448,351,3.0
5480,150,3.0
5708,100,3.0
5768,74,5.0
5892,114,4.0
103,115,4.0
236,62,4.0
329,764,3.0
460,47,3.0
1056,76,3.0
1085,35,4.0
1398,38,4.0
1873,198,3.0
1890,202,4.0
2062,88,4.0
2069,75,4.0
2198,67,4.0
2323,269,4.0
2496,511,3.0
2497,121,5.0
2595,159,3.0
2629,272,4.0
3173,95,4.0
3258,40,4.0
3279,105,3.0
3284,41,4.0
3456,55,4.0
3512,409,4.0
3972,25,4.0
4025,28,4.0
4104,154,4.0
4200,49,4.0
4240,66,4.0
4286,200,4.0
4368,131,4.0
4610,160,3.0
4899,245,4.0
5080,69,4.0
5142,327,4.0
5238,22,3.0
5401,146,4.0
5891,78,4.0
6030,115,4.0
12,23,4.0
336,107,4.0
350,64,4.0
973,217,3.0
984,694,4.0
1046,26,4.0
1093,70,3.0
1260,509,4.0
2228,61,4.0
2236,95,4.0
2409,134,4.0
2531,31,4.0
2723,84,3.0
2939,148,4.0
3054,526,4.0
3196,305,3.0
3207,99,4.0
3228,156,4.0
3328,273,3.0
3548,26,3.0
3741,134,4.0
4144,140,3.0
4198,50,4.0
4305,686,4.0
4317,51,4.0
4523,394,3.0
4874,31,4.0
5087,296,4.0
5322,102,4.0
223,256,3.0
738,33,3.0
860,42,3.0
1769,73,3.0
1838,27,3.0
2006,41,4.0
2090,229,4.0
2675,44,3.0
2680,214,3.0
2684,219,4.0
2692,134,4.0
2701,114,3.0
2920,24,3.0
3037,64,4.0
3076,22,4.0
3083,99,4.0
3116,85,4.0
3171,132,4.0
3325,26,2.0
3353,235,4.0
3500,62,4.0
3679,384,4.0
3792,821,4.0
3859,309,3.0
3990,85,4.0
4033,662,4.0
4394,33,4.0
4446,422,3.0
5003,33,5.0
5069,25,5.0
5105,98,3.0
5307,57,4.0
5328,53,4.0
5422,175,4.0
5465,22,3.0
5841,334,4.0
388,59,4.0
417,22,4.0
548,118,3.0
602,154,3.0
1208,48,4.0
1775,155,4.0
2168,365,4.0
2753,505,4.0
3260,228,4.0
3502,33,4.0
3519,666,3.0
3621,379,3.0
3865,57,3.0
3912,101,4.0
4591,480,3.0
4617,73,3.0
4669,45,4.0
4873,28,4.0
4910,50,4.0
5062,24,4.0
5374,48,4.0
5886,491,3.0
5897,53,4.0
5909,29,3.0
91,44,5.0
409,297,4.0
578,28,4.0
663,112,4.0
926,105,4.0
1077,309,4.0
1564,124,3.0
1659,57,3.0
1777,55,4.0
1820,317,4.0
1978,154,3.0
2022,194,4.0
2502,21,4.0
2975,100,4.0
3216,324,3.0
3711,88,4.0
4014,225,4.0
4047,45,4.0
4227,1222,3.0
4363,192,4.0
4397,67,3.0
4526,170,4.0
4653,404,3.0
5333,839,4.0
5370,27,3.0
5765,229,3.0
5843,221,3.0
6028,47,3.0
333,227,3.0
707,52,4.0
822,292,4.0
1215,115,4.0
1290,55,4.0
1457,307,4.0
1582,22,4.0
1908,208,3.0
1925,305,4.0
2113,46,4.0
2127,168,3.0
2227,48,4.0
2237,442,4.0
2255,175,4.0
2668,218,3.0
2726,84,5.0
2772,178,4.0
2789,94,4.0
2961,44,4.0
3071,26,3.0
3184,105,4.0
3239,74,4.0
3450,189,4.0
3546,410,3.0
3814,36,4.0
3891,100,4.0
3963,457,4.0
4070,135,4.0
4389,125,3.0
4457,212,4.0
4823,470,3.0
4989,77,4.0
4994,135,4.0
5112,317,3.0
5190,43,4.0
222,80,4.0
285,139,4.0
601,373,3.0
875,84,4.0
1249,25,4.0
1324,108,4.0
1565,47,4.0
1804,116,3.0
1824,159,3.0
2031,225,4.0
2288,535,3.0
2532,31,4.0
3108,484,4.0
3180,490,3.0
3240,154,3.0
3586,163,3.0
3654,282,3.0
3673,212,4.0
3886,91,4.0
3888,151,4.0
3905,81,4.0
4090,203,4.0
4120,48,3.0
4177,152,4.0
4323,137,4.0
4387,743,3.0
4720,47,4.0
4837,328,3.0
5905,152,4.0
5932,24,3.0
22,297,3.0
128,22,4.0
209,25,3.0
330,76,4.0
372,168,5.0
604,287,3.0
685,140,3.0
727,249,4.0
995,49,4.0
1065,88,4.0
1125,580,3.0
1295,40,4.0
1332,32,4.0
1469,32,4.0
1550,29,4.0
1731,68,3.0
1796,176,4.0
1848,22,4.0
1886,26,4.0
1961,89,4.0
2242,332,4.0
2407,152,4.0
2521,54,4.0
2725,35,4.0
3200,159,4.0
3579,269,3.0
4203,145,4.0
4336,122,4.0
4403,87,4.0
4429,45,4.0
4606,106,3.0
4718,138,4.0
4788,303,3.0
5213,35,3.0
5282,300,3.0
5302,238,3.0
5320,23,3.0
5953,91,4.0
122,57,3.0
230,179,4.0
319,721,3.0
493,158,4.0
625,45,4.0
686,27,4.0
1176,126,4.0
1291,283,4.0
1583,52,4.0
2013,80,4.0
2517,50,3.0
2828,58,4.0
3689,226,3.0
3728,64,4.0
3975,92,4.0
4028,537,3.0
4251,97,4.0
4280,88,4.0
4521,229,4.0
5025,125,4.0
5500,59,4.0
5568,341,4.0
5660,34,4.0
93,220,3.0
157,427,4.0
190,153,4.0
225,508,3.0
232,90,4.0
233,53,5.0
758,29,4.0
924,199,4.0
1506,105,4.0
1633,34,3.0
2042,265,3.0
2148,255,4.0
2414,232,4.0
2724,205,4.0
2774,277,4.0
3390,203,4.0
3482,71,4.0
3884,651,3.0
4376,58,4.0
4386,873,4.0
4726,283,4.0
4727,55,4.0
5042,368,3.0
5099,203,4.0
5266,29,4.0
5516,137,4.0
5633,39,4.0
5828,20,3.0
246,29,4.0
346,283,4.0
360,67,4.0
367,28,4.0
476,431,4.0
539,132,4.0
599,27,4.0
725,81,4.0
855,630,3.0
861,80,4.0
1061,51,4.0
1588,47,4.0
2609,202,4.0
2757,129,4.0
2791,48,5.0
3244,24,4.0
3276,29,3.0
3670,68,4.0
3920,60,4.0
3991,47,3.0
4040,186,3.0
4426,75,4.0
4455,50,4.0
4530,56,4.0
4882,203,4.0
5524,166,4.0
5678,138,4.0
5786,331,3.0
5787,442,4.0
111,92,4.0
224,204,3.0
519,45,3.0
654,185,3.0
1197,24,4.0
1505,318,4.0
1729,58,3.0
1785,54,3.0
1942,59,3.0
2181,915,3.0
2404,95,4.0
2607,62,4.0
2628,203,3.0
2896,320,4.0
3132,28,3.0
3222,20,4.0
3495,21,3.0
3504,214,4.0
3817,53,3.0
3862,33,4.0
4018,145,4.0
4277,1743,4.0
4459,187,4.0
4568,305,4.0
4784,409,4.0
5084,266,3.0
5102,144,5.0
5346,54,4.0
5442,64,4.0
5478,34,4.0
5655,117,4.0
47,22,4.0
1207,618,2.0
1456,22,4.0
1477,33,4.0
1939,221,4.0
1944,68,4.0
2051,229,3.0
2064,247,4.0
2192,121,4.0
2284,52,4.0
2549,23,3.0
2612,43,3.0
2638,521,3.0
2823,47,3.0
3045,148,4.0
3140,323,4.0
3144,35,4.0
3567,69,4.0
3818,47,4.0
4076,48,4.0
4384,290,4.0
4481,62,3.0
4642,33,4.0
4655,342,4.0
4851,24,4.0
5090,420,4.0
5182,304,4.0
5388,24,4.0
5620,219,3.0
5640,34,3.0
5755,515,4.0
5838,223,4.0
6024,95,4.0
140,55,4.0
177,44,4.0
416,62,4.0
556,232,4.0
711,143,4.0
827,22,4.0
1055,78,3.0
1244,543,3.0
1300,166,3.0
1425,778,4.0
1613,795,3.0
1899,756,4.0
2037,20,3.0
2038,440,4.0
2109,749,3.0
2306,71,4.0
2398,116,4.0
2619,93,4.0
2998,54,4.0
3293,45,3.0
3498,117,4.0
3904,103,4.0
4032,153,4.0
4498,154,3.0
4507,232,4.0
4698,27,4.0
4756,27,4.0
5162,36,4.0
5335,158,4.0
5361,187,4.0
6014,106,4.0
132,89,4.0
152,24,4.0
444,120,4.0
665,20,4.0
671,135,4.0
1114,134,3.0
1206,141,4.0
2056,256,4.0
2466,203,3.0
2582,22,4.0
2829,38,3.0
3104,29,4.0
3336,667,3.0
3721,129,4.0
3734,50,3.0
3857,54,4.0
3919,69,4.0
4246,36,4.0
4327,162,4.0
4604,76,3.0
4733,104,4.0
4822,28,3.0
4828,100,4.0
5286,182,4.0
5309,20,4.0
5547,152,4.0
5593,160,4.0
5868,67,4.0
185,51,4.0
305,157,3.0
353,24,4.0
355,419,3.0
618,45,3.0
694,40,4.0
696,401,4.0
747,32,4.0
882,79,4.0
1512,34,3.0
1542,293,4.0
1586,415,4.0
1599,550,3.0
1694,398,4.0
1786,53,4.0
2045,25,4.0
2092,729,4.0
2312,35,4.0
2616,50,4.0
2882,123,3.0
2898,109,4.0
3155,85,4.0
3349,143,4.0
3379,39,4.0
3940,492,4.0
4185,52,3.0
4469,33,4.0
4641,40,4.0
4844,29,4.0
4893,90,4.0
5129,110,4.0
5334,55,2.0
5354,46,4.0
5609,40,5.0
291,102,4.0
325,43,4.0
386,260,3.0
906,21,4.0
955,338,4.0
1288,129,4.0
1306,461,4.0
1311,188,3.0
1723,146,4.0
1774,40,3.0
2082,71,4.0
2108,22,4.0
2219,210,4.0
2339,23,5.0
2483,70,4.0
2647,24,4.0
3029,761,4.0
3095,174,4.0
5018,247,4.0
5285,45,4.0
5344,197,4.0
5365,300,4.0
5450,321,3.0
5595,206,3.0
5639,43,4.0
435,132,4.0
473,49,4.0
581,48,4.0
603,63,4.0
660,703,3.0
748,81,4.0
774,224,3.0
912,43,4.0
935,388,3.0
1170,258,4.0
1266,726,3.0
1382,36,4.0
1590,40,4.0
1626,271,3.0
1681,121,4.0
2191,38,3.0
2635,59,3.0
2796,404,3.0
2840,350,3.0
2886,87,4.0
3020,170,4.0
3073,57,5.0
3121,271,3.0
3261,539,3.0
3753,49,4.0
3956,33,4.0
3976,299,4.0
4162,126,4.0
4435,53,4.0
4451,277,3.0
4524,289,3.0
4987,52,4.0
5245,30,4.0
5303,45,4.0
5315,35,4.0
5947,142,3.0
146,426,4.0
704,74,3.0
1122,114,3.0
1145,57,3.0
1247,36,4.0
1304,84,4.0
1488,21,4.0
1491,253,3.0
2320,100,3.0
2329,40,3.0
2760,68,4.0
3206,100,4.0
3421,24,4.0
3636,23,4.0
3752,185,3.0
3798,30,4.0
3923,103,4.0
3927,156,4.0
3970,253,3.0
4111,53,4.0
4174,40,4.0
4428,70,4.0
4472,493,3.0
4656,219,4.0
4663,393,3.0
4766,42,4.0
4898,239,4.0
5047,319,4.0
5306,630,3.0
5624,119,3.0
5879,55,4.0
259,139,4.0
512,37,4.0
797,83,4.0
1595,133,4.0
1664,20,3.0
1773,61,4.0
1802,211,4.0
2054,335,3.0
2239,119,4.0
2614,30,4.0
2781,284,4.0
2941,359,3.0
3025,148,4.0
3283,246,4.0
3449,64,4.0
3648,627,3.0
3819,118,4.0
3826,28,4.0
4102,89,3.0
4515,22,4.0
4561,110,4.0
4786,390,4.0
4842,69,4.0
4973,149,4.0
5499,69,5.0
5611,31,4.0
5864,39,4.0
5959,70,3.0
1,53,4.0
206,30,3.0
896,64,4.0
1008,50,4.0
1172,443,4.0
1391,209,3.0
1504,42,4.0
1516,292,3.0
2296,28,3.0
2775,29,4.0
2780,40,4.0
2786,298,4.0
2957,64,4.0
3059,44,4.0
3125,354,4.0
3208,384,3.0
3282,24,5.0
3452,85,4.0
4041,844,3.0
4311,94,3.0
4338,32,3.0
4351,169,4.0
4931,80,4.0
5192,22,4.0
5763,677,3.0
5811,308,3.0
5960,190,4.0
52,79,4.0
297,89,4.0
363,43,4.0
768,48,4.0
770,759,3.0
777,502,3.0
1302,60,4.0
1485,23,4.0
1683,175,3.0
1798,67,4.0
1812,698,4.0
1902,258,4.0
2138,60,4.0
2183,35,4.0
2364,29,4.0
2475,37,4.0
2763,25,3.0
3030,26,4.0
3060,37,4.0
3147,211,3.0
3570,22,3.0
3593,64,3.0
3622,159,4.0
3774,56,4.0
3861,41,4.0
4312,883,3.0
4315,155,4.0
4464,21,3.0
4466,122,4.0
4475,45,4.0
5496,84,4.0
5791,101,4.0
5819,30,4.0
5900,125,3.0
5950,435,3.0
5968,33,4.0
212,110,4.0
674,79,4.0
715,98,4.0
992,31,3.0
1047,76,4.0
1190,27,4.0
1400,58,4.0
1427,153,4.0
1458,97,4.0
1546,342,4.0
1651,35,3.0
2155,71,5.0
2600,91,3.0
2603,43,4.0
2637,56,3.0
2967,527,3.0
3006,52,4.0
3162,82,3.0
3453,299,3.0
3541,35,4.0
4349,27,2.0
4438,170,3.0
4569,86,4.0
4614,21,4.0
4979,882,3.0
5097,133,4.0
5122,23,4.0
5204,47,4.0
5255,149,5.0
5336,47,4.0
5341,126,4.0
5539,480,4.0
5599,231,3.0
5761,223,3.0
274,148,4.0
631,312,4.0
1434,279,2.0
1473,240,3.0
1616,254,3.0
1722,206,4.0
1878,83,4.0
1922,429,3.0
2170,126,4.0
2256,68,4.0
2344,188,3.0
2363,31,5.0
2575,169,4.0
2633,37,4.0
2698,43,4.0
2989,105,4.0
3058,145,4.0
3111,124,3.0
3172,108,4.0
3192,150,4.0
3210,149,5.0
3446,36,4.0
3474,200,4.0
3607,260,3.0
3754,304,4.0
3987,46,3.0
4093,157,4.0
4325,24,3.0
4450,81,3.0
4680,322,4.0
4688,132,4.0
4775,20,3.0
5000,401,4.0
5077,424,4.0
5114,149,4.0
5588,37,4.0
182,83,4.0
442,423,4.0
689,135,3.0
699,674,3.0
792,87,3.0
1137,564,4.0
1323,148,4.0
1399,288,4.0
1608,144,2.0
1644,48,3.0
1770,89,3.0
1822,67,4.0
2059,253,4.0
2213,39,4.0
2380,406,3.0
2768,80,4.0
3032,1019,4.0
3197,136,3.0
3272,836,4.0
3978,132,4.0
4288,27,4.0
4304,25,4.0
4757,97,4.0
4877,95,4.0
4936,40,4.0
5082,232,4.0
5144,32,4.0
5231,28,4.0
5621,477,3.0
5649,200,4.0
13,108,3.0
218,86,3.0
280,50,4.0
348,100,4.0
440,29,4.0
734,44,4.0
1663,46,4.0
1682,27,4.0
2318,69,3.0
2337,55,4.0
2383,456,4.0
2455,192,3.0
2471,37,3.0
2536,57,3.0
2956,27,3.0
3022,150,3.0
3231,153,4.0
3484,206,3.0
3572,111,4.0
3786,63,4.0
4016,678,3.0
4151,36,4.0
4297,47,4.0
4487,60,4.0
5193,204,4.0
5590,33,4.0
5612,36,3.0
5992,67,3.0
6,71,4.0
16,35,3.0
86,48,4.0
474,318,3.0
636,86,4.0
760,64,4.0
1089,72,4.0
1100,508,2.0
1155,182,3.0
1267,170,4.0
1367,211,4.0
2102,530,3.0
2210,29,4.0
2281,77,4.0
2433,34,4.0
2685,196,4.0
3720,207,3.0
4030,124,3.0
4365,20,3.0
4420,50,4.0
4977,183,3.0
5281,260,4.0
5343,36,5.0
5398,28,4.0
5967,22,4.0
168,26,4.0
205,153,4.0
572,20,3.0
852,34,4.0
887,96,4.0
1952,251,3.0
2158,113,4.0
2470,23,3.0
2520,48,4.0
2699,100,4.0
2911,63,4.0
3813,67,4.0
4220,248,4.0
4565,36,4.0
4570,38,3.0
4672,23,4.0
4914,52,4.0
4966,48,4.0
5001,225,4.0
5016,96,3.0
5158,204,4.0
5167,150,4.0
5234,212,4.0
5382,67,4.0
5770,139,4.0
5777,125,4.0
3,51,4.0
142,47,3.0
